統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,08403,9915,百萬美元,2587,新臺幣億元
外銷訂單金額,08404,9248,百萬美元,2350,新臺幣億元
外銷訂單金額,08405,9962,百萬美元,2544,新臺幣億元
外銷訂單金額,08406,8991,百萬美元,2317,新臺幣億元
外銷訂單金額,08407,9601,百萬美元,2520,新臺幣億元
外銷訂單金額,08408,10093,百萬美元,2748,新臺幣億元
外銷訂單金額,08409,9816,百萬美元,2691,新臺幣億元
外銷訂單金額,08410,9866,百萬美元,2656,新臺幣億元
外銷訂單金額,08411,10460,百萬美元,2851,新臺幣億元
外銷訂單金額,08412,10018,百萬美元,2735,新臺幣億元
外銷訂單金額,08501,9675,百萬美元,2652,新臺幣億元
外銷訂單金額,08502,8847,百萬美元,2431,新臺幣億元
外銷訂單金額,08503,9919,百萬美元,2719,新臺幣億元
外銷訂單金額,08504,9904,百萬美元,2691,新臺幣億元
外銷訂單金額,08505,10019,百萬美元,2738,新臺幣億元
外銷訂單金額,08506,9771,百萬美元,2703,新臺幣億元
外銷訂單金額,08507,9772,百萬美元,2693,新臺幣億元
外銷訂單金額,08508,10094,百萬美元,2775,新臺幣億元
外銷訂單金額,08509,10513,百萬美元,2890,新臺幣億元
外銷訂單金額,08510,10301,百萬美元,2834,新臺幣億元
外銷訂單金額,08511,10028,百萬美元,2757,新臺幣億元
外銷訂單金額,08512,10113,百萬美元,2781,新臺幣億元
外銷訂單金額,08601,9872,百萬美元,2710,新臺幣億元
外銷訂單金額,08602,8696,百萬美元,2395,新臺幣億元
外銷訂單金額,08603,10472,百萬美元,2883,新臺幣億元
外銷訂單金額,08604,10491,百萬美元,2897,新臺幣億元
外銷訂單金額,08605,10444,百萬美元,2900,新臺幣億元
外銷訂單金額,08606,10359,百萬美元,2888,新臺幣億元
外銷訂單金額,08607,10470,百萬美元,2929,新臺幣億元
外銷訂單金額,08608,10200,百萬美元,2928,新臺幣億元
外銷訂單金額,08609,10896,百萬美元,3117,新臺幣億元
外銷訂單金額,08610,11019,百萬美元,3240,新臺幣億元
外銷訂單金額,08611,10299,百萬美元,3257,新臺幣億元
外銷訂單金額,08612,10582,百萬美元,3422,新臺幣億元
外銷訂單金額,08701,8460,百萬美元,2864,新臺幣億元
