統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,10503,36625,百萬美元,12033,新臺幣億元
外銷訂單金額,10504,33159,百萬美元,10729,新臺幣億元
外銷訂單金額,10505,33729,百萬美元,10986,新臺幣億元
外銷訂單金額,10506,35704,百萬美元,11568,新臺幣億元
外銷訂單金額,10507,35035,百萬美元,11255,新臺幣億元
外銷訂單金額,10508,37927,百萬美元,11976,新臺幣億元
外銷訂單金額,10509,42962,百萬美元,13526,新臺幣億元
外銷訂單金額,10510,42683,百萬美元,13476,新臺幣億元
外銷訂單金額,10511,43620,百萬美元,13853,新臺幣億元
外銷訂單金額,10512,41237,百萬美元,13201,新臺幣億元
外銷訂單金額,10601,35969,百萬美元,11417,新臺幣億元
外銷訂單金額,10602,33753,百萬美元,10429,新臺幣億元
外銷訂單金額,10603,41124,百萬美元,12607,新臺幣億元
外銷訂單金額,10604,35614,百萬美元,10823,新臺幣億元
外銷訂單金額,10605,36813,百萬美元,11101,新臺幣億元
外銷訂單金額,10606,40353,百萬美元,12213,新臺幣億元
外銷訂單金額,10607,38721,百萬美元,11785,新臺幣億元
外銷訂單金額,10608,40778,百萬美元,12341,新臺幣億元
外銷訂單金額,10609,45921,百萬美元,13845,新臺幣億元
外銷訂單金額,10610,46601,百萬美元,14101,新臺幣億元
外銷訂單金額,10611,48689,百萬美元,14660,新臺幣億元
外銷訂單金額,10612,48471,百萬美元,14533,新臺幣億元
外銷訂單金額,10701,43063,百萬美元,12678,新臺幣億元
外銷訂單金額,10702,32454,百萬美元,9512,新臺幣億元
外銷訂單金額,10703,42383,百萬美元,12382,新臺幣億元
外銷訂單金額,10704,39111,百萬美元,11496,新臺幣億元
外銷訂單金額,10705,41112,百萬美元,12284,新臺幣億元
外銷訂單金額,10706,40314,百萬美元,12127,新臺幣億元
外銷訂單金額,10707,41799,百萬美元,12776,新臺幣億元
外銷訂單金額,10708,43676,百萬美元,13421,新臺幣億元
外銷訂單金額,10709,47858,百萬美元,14719,新臺幣億元
外銷訂單金額,10710,48986,百萬美元,15139,新臺幣億元
外銷訂單金額,10711,47684,百萬美元,14714,新臺幣億元
外銷訂單金額,10712,43382,百萬美元,13373,新臺幣億元
外銷訂單金額,10801,40535,百萬美元,12497,新臺幣億元
外銷訂單金額,10802,28948,百萬美元,8921,新臺幣億元
